2022-01-03 10:40:29,170 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 10:40:29,172 [Worker-55] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 10:40:29,174 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 10:40:29,177 [Worker-55] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 10:45:29,941 [Worker-56] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 10:45:29,953 [Worker-56] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 19 resources
2022-01-03 10:45:29,963 [Worker-56] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 10:45:29,965 [Worker-56] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 10:45:33,055 [Worker-62] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 10:45:33,058 [Worker-62] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 10:45:33,060 [Worker-62] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 10:45:33,063 [Worker-62] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 10:48:14,736 [Worker-64] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 10:48:14,738 [Worker-64] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2022-01-03 10:48:14,745 [Worker-64] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 10:48:14,747 [Worker-64] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 10:50:37,180 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 10:50:37,192 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 19 resources
2022-01-03 10:50:37,222 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 10:50:37,227 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 10:51:18,814 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 10:51:18,825 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 19 resources
2022-01-03 10:51:18,836 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 10:51:18,838 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 10:52:54,156 [Worker-64] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 10:52:54,158 [Worker-64] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 10:52:54,159 [Worker-64] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 10:52:54,164 [Worker-64] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 10:53:14,682 [Worker-63] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 10:53:14,689 [Worker-63] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 10:53:14,696 [Worker-63] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 10:53:14,706 [Worker-63] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 10:53:22,637 [Worker-56] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 10:53:22,646 [Worker-56] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 19 resources
2022-01-03 10:53:22,655 [Worker-56] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 10:53:22,657 [Worker-56] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 10:53:32,309 [Worker-64] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 10:53:32,324 [Worker-64] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 19 resources
2022-01-03 10:53:32,333 [Worker-64] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 10:53:32,336 [Worker-64] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 10:53:37,770 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 10:53:37,772 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 10:53:37,773 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 10:53:37,776 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 10:55:37,013 [Worker-64] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 10:55:37,015 [Worker-64] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 10:55:37,017 [Worker-64] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 10:55:37,019 [Worker-64] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 10:55:48,243 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 10:55:48,247 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 10:55:48,250 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 10:55:48,252 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 10:56:22,357 [Worker-56] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 10:56:22,359 [Worker-56] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 10:56:22,367 [Worker-56] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 10:56:22,369 [Worker-56] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 10:56:27,368 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 10:56:27,370 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 10:56:27,372 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 10:56:27,376 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 11:01:18,102 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 11:01:18,105 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 11:01:18,107 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 11:01:18,109 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 11:01:22,773 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 11:01:22,775 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 11:01:22,777 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 11:01:22,779 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 11:07:06,243 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 11:07:06,248 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 11:07:06,251 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 11:07:06,259 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 11:07:28,991 [Worker-63] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 11:07:28,993 [Worker-63] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 11:07:28,995 [Worker-63] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 11:07:28,997 [Worker-63] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 11:07:59,389 [Worker-69] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 11:07:59,392 [Worker-69] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 11:07:59,394 [Worker-69] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 11:07:59,396 [Worker-69] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 11:47:40,614 [Worker-79] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 11:47:40,616 [Worker-79] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
